,Year,Continent,Disaster Type,Number of Disasters,Difference from Previous Year,% Difference from Previous Year
3,1970,Americas,Drought,1,0.0,0.0
4,1970,Americas,Flood,15,13.0,650.0
5,1970,Americas,Storm,7,6.0,600.0
7,1970,Asia,Flood,11,-4.0,-26.666666666666668
9,1970,Asia,Storm,14,7.0,100.0
10,1970,Asia,Wildfire,2,1.0,100.0
11,1970,Europe,Flood,3,-8.0,-72.72727272727273
12,1970,Europe,Landslide,3,0.0,0.0
13,1970,Europe,Storm,1,-13.0,-92.85714285714286
14,1970,Oceania,Storm,1,0.0,0.0
15,1971,Africa,Drought,5,4.0,400.0
16,1971,Africa,Flood,1,-2.0,-66.66666666666666
17,1971,Americas,Flood,8,7.0,700.0
18,1971,Americas,Landslide,3,0.0,0.0
19,1971,Americas,Storm,7,6.0,600.0
20,1971,Asia,Drought,1,-4.0,-80.0
21,1971,Asia,Flood,4,-4.0,-50.0
22,1971,Asia,Landslide,1,-2.0,-66.66666666666666
23,1971,Asia,Storm,13,6.0,85.71428571428571
24,1971,Asia,Wildfire,2,0.0,0.0
25,1971,Europe,Flood,1,-3.0,-75.0
26,1971,Europe,Storm,1,-12.0,-92.3076923076923
27,1971,Oceania,Flood,1,0.0,0.0
28,1971,Oceania,Landslide,1,0.0,0.0
29,1971,Oceania,Storm,1,0.0,0.0
30,1972,Africa,Flood,1,0.0,0.0
31,1972,Africa,Storm,2,1.0,100.0
32,1972,Americas,Drought,1,0.0,0.0
33,1972,Americas,Flood,4,3.0,300.0
34,1972,Americas,Landslide,2,1.0,100.0
35,1972,Americas,Storm,2,0.0,0.0
36,1972,Asia,Drought,3,2.0,200.0
37,1972,Asia,Flood,9,5.0,125.0
38,1972,Asia,Landslide,3,1.0,50.0
39,1972,Asia,Storm,10,8.0,400.0
40,1972,Asia,Wildfire,3,1.0,50.0
41,1972,Europe,Flood,1,-8.0,-88.88888888888889
42,1972,Europe,Storm,4,-6.0,-60.0
43,1972,Oceania,Storm,8,4.0,100.0
44,1973,Africa,Drought,2,-1.0,-33.33333333333333
45,1973,Africa,Flood,4,3.0,300.0
46,1973,Africa,Wildfire,1,-2.0,-66.66666666666666
47,1973,Americas,Drought,1,-1.0,-50.0
48,1973,Americas,Flood,9,5.0,125.0
49,1973,Americas,Landslide,5,2.0,66.66666666666666
50,1973,Americas,Storm,4,-4.0,-50.0
51,1973,Asia,Flood,5,-4.0,-44.44444444444444
52,1973,Asia,Storm,10,6.0,150.0
53,1973,Asia,Wildfire,2,1.0,100.0
54,1973,Europe,Flood,1,-4.0,-80.0
55,1973,Europe,Storm,5,-5.0,-50.0
56,1973,Oceania,Flood,1,0.0,0.0
57,1973,Oceania,Storm,3,-2.0,-40.0
58,1974,Africa,Flood,5,4.0,400.0
59,1974,Americas,Drought,1,0.0,0.0
60,1974,Americas,Flood,5,0.0,0.0
61,1974,Americas,Landslide,5,0.0,0.0
62,1974,Americas,Storm,7,4.0,133.33333333333331
63,1974,Asia,Drought,1,0.0,0.0
64,1974,Asia,Flood,8,3.0,60.0
65,1974,Asia,Landslide,2,-3.0,-60.0
66,1974,Asia,Storm,18,11.0,157.14285714285714
67,1974,Asia,Wildfire,3,1.0,50.0
68,1974,Europe,Landslide,3,1.0,50.0
69,1974,Europe,Storm,1,-17.0,-94.44444444444444
70,1974,Oceania,Drought,1,0.0,0.0
71,1974,Oceania,Flood,1,-7.0,-87.5
72,1974,Oceania,Storm,2,1.0,100.0
73,1975,Africa,Flood,6,5.0,500.0
74,1975,Africa,Storm,4,2.0,100.0
75,1975,Americas,Flood,2,-4.0,-66.66666666666666
76,1975,Americas,Storm,9,5.0,125.0
77,1975,Asia,Drought,1,0.0,0.0
78,1975,Asia,Flood,8,6.0,300.0
79,1975,Asia,Landslide,2,-1.0,-33.33333333333333
80,1975,Asia,Storm,11,2.0,22.22222222222222
81,1975,Europe,Flood,1,-7.0,-87.5
82,1975,Europe,Landslide,3,1.0,50.0
83,1975,Oceania,Flood,1,0.0,0.0
84,1975,Oceania,Storm,4,-7.0,-63.63636363636363
85,1975,Oceania,Wildfire,2,-1.0,-33.33333333333333
86,1976,Africa,Drought,6,5.0,500.0
87,1976,Africa,Flood,1,0.0,0.0
88,1976,Africa,Storm,1,-3.0,-75.0
89,1976,Americas,Flood,5,4.0,400.0
90,1976,Americas,Landslide,2,-1.0,-33.33333333333333
91,1976,Americas,Storm,2,1.0,100.0
92,1976,Americas,Wildfire,1,-1.0,-50.0
93,1976,Asia,Drought,1,-5.0,-83.33333333333334
94,1976,Asia,Flood,9,4.0,80.0
95,1976,Asia,Landslide,4,2.0,100.0
96,1976,Asia,Storm,16,14.0,700.0
97,1976,Europe,Drought,1,0.0,0.0
98,1976,Europe,Storm,9,-7.0,-43.75
99,1976,Oceania,Drought,2,1.0,100.0
100,1976,Oceania,Flood,2,-7.0,-77.77777777777779
101,1976,Oceania,Storm,8,-1.0,-11.11111111111111
102,1977,Africa,Drought,3,1.0,50.0
103,1977,Africa,Flood,8,6.0,300.0
104,1977,Africa,Storm,3,-5.0,-62.5
105,1977,Americas,Drought,4,1.0,33.33333333333333
106,1977,Americas,Flood,12,4.0,50.0
107,1977,Americas,Landslide,1,-3.0,-75.0
108,1977,Americas,Storm,6,3.0,100.0
109,1977,Asia,Drought,6,2.0,50.0
110,1977,Asia,Flood,18,6.0,50.0
111,1977,Asia,Landslide,1,0.0,0.0
112,1977,Asia,Storm,19,13.0,216.66666666666666
113,1977,Europe,Flood,8,-10.0,-55.55555555555556
114,1977,Europe,Landslide,1,0.0,0.0
115,1977,Oceania,Flood,2,-6.0,-75.0
116,1977,Oceania,Storm,4,-15.0,-78.94736842105263
117,1977,Oceania,Wildfire,2,1.0,100.0
118,1978,Africa,Drought,2,-4.0,-66.66666666666666
119,1978,Africa,Flood,8,6.0,300.0
120,1978,Africa,Storm,3,-1.0,-25.0
121,1978,Africa,Wildfire,1,-1.0,-50.0
122,1978,Americas,Drought,2,0.0,0.0
123,1978,Americas,Flood,9,1.0,12.5
124,1978,Americas,Storm,8,5.0,166.66666666666669
125,1978,Asia,Drought,3,1.0,50.0
126,1978,Asia,Flood,22,13.0,144.44444444444443
127,1978,Asia,Landslide,2,1.0,100.0
128,1978,Asia,Storm,24,16.0,200.0
129,1978,Asia,Wildfire,2,1.0,100.0
130,1978,Europe,Flood,3,-19.0,-86.36363636363636
131,1978,Europe,Storm,1,-23.0,-95.83333333333334
132,1978,Oceania,Drought,1,-2.0,-66.66666666666666
133,1978,Oceania,Flood,5,2.0,66.66666666666666
134,1978,Oceania,Storm,6,5.0,500.0
135,1979,Africa,Drought,4,3.0,300.0
136,1979,Africa,Flood,6,1.0,20.0
137,1979,Africa,Storm,3,-3.0,-50.0
138,1979,Americas,Drought,1,-3.0,-75.0
139,1979,Americas,Flood,12,6.0,100.0
140,1979,Americas,Landslide,1,-1.0,-50.0
141,1979,Americas,Storm,11,8.0,266.66666666666663
142,1979,Asia,Drought,6,5.0,500.0
143,1979,Asia,Flood,11,-1.0,-8.333333333333332
144,1979,Asia,Landslide,4,3.0,300.0
145,1979,Asia,Storm,12,1.0,9.090909090909092
146,1979,Asia,Wildfire,3,1.0,50.0
147,1979,Europe,Flood,5,-6.0,-54.54545454545454
148,1979,Oceania,Landslide,2,-2.0,-50.0
149,1979,Oceania,Storm,5,-7.0,-58.333333333333336
150,1979,Oceania,Wildfire,1,-2.0,-66.66666666666666
151,1980,Africa,Drought,19,13.0,216.66666666666666
152,1980,Africa,Landslide,1,-1.0,-50.0
153,1980,Africa,Storm,1,-4.0,-80.0
154,1980,Americas,Drought,1,-18.0,-94.73684210526315
155,1980,Americas,Flood,14,9.0,180.0
156,1980,Americas,Storm,14,13.0,1300.0
157,1980,Americas,Wildfire,1,0.0,0.0
158,1980,Asia,Drought,2,1.0,100.0
159,1980,Asia,Flood,20,6.0,42.857142857142854
160,1980,Asia,Landslide,3,2.0,200.0
161,1980,Asia,Storm,20,6.0,42.857142857142854
162,1980,Asia,Wildfire,2,1.0,100.0
163,1980,Europe,Drought,1,-1.0,-50.0
164,1980,Europe,Flood,3,-17.0,-85.0
165,1980,Europe,Storm,1,-19.0,-95.0
166,1980,Oceania,Drought,1,0.0,0.0
167,1980,Oceania,Flood,2,-1.0,-33.33333333333333
168,1980,Oceania,Storm,6,5.0,500.0
169,1980,Oceania,Wildfire,1,-1.0,-50.0
170,1981,Africa,Drought,12,11.0,1100.0
171,1981,Africa,Flood,7,5.0,250.0
172,1981,Africa,Storm,2,-4.0,-66.66666666666666
173,1981,Americas,Drought,2,-10.0,-83.33333333333334
174,1981,Americas,Flood,7,0.0,0.0
175,1981,Americas,Landslide,4,1.0,33.33333333333333
176,1981,Americas,Storm,5,3.0,150.0
177,1981,Asia,Drought,2,0.0,0.0
178,1981,Asia,Flood,21,14.0,200.0
179,1981,Asia,Landslide,4,0.0,0.0
180,1981,Asia,Storm,29,24.0,480.0
181,1981,Asia,Wildfire,4,3.0,300.0
182,1981,Europe,Drought,1,-1.0,-50.0
183,1981,Europe,Flood,4,-17.0,-80.95238095238095
184,1981,Europe,Storm,6,-23.0,-79.3103448275862
185,1981,Oceania,Drought,1,0.0,0.0
186,1981,Oceania,Flood,4,0.0,0.0
187,1981,Oceania,Storm,8,2.0,33.33333333333333
188,1982,Africa,Flood,6,2.0,50.0
189,1982,Africa,Landslide,1,-3.0,-75.0
190,1982,Africa,Storm,4,-4.0,-50.0
191,1982,Americas,Drought,1,0.0,0.0
192,1982,Americas,Flood,14,8.0,133.33333333333331
193,1982,Americas,Landslide,2,1.0,100.0
194,1982,Americas,Storm,16,12.0,300.0
195,1982,Asia,Drought,4,3.0,300.0
196,1982,Asia,Flood,22,8.0,57.14285714285714
197,1982,Asia,Landslide,5,3.0,150.0
198,1982,Asia,Storm,22,6.0,37.5
199,1982,Asia,Wildfire,2,-2.0,-50.0
200,1982,Europe,Drought,1,-3.0,-75.0
201,1982,Europe,Flood,6,-16.0,-72.72727272727273
202,1982,Europe,Landslide,4,-1.0,-20.0
203,1982,Europe,Storm,4,-18.0,-81.81818181818183
204,1982,Europe,Wildfire,1,-1.0,-50.0
205,1982,Oceania,Storm,6,2.0,50.0
206,1983,Africa,Drought,12,11.0,1100.0
207,1983,Africa,Flood,3,-3.0,-50.0
208,1983,Africa,Storm,4,-2.0,-33.33333333333333
209,1983,Americas,Drought,7,-5.0,-41.66666666666667
210,1983,Americas,Flood,12,9.0,300.0
211,1983,Americas,Landslide,5,1.0,25.0
212,1983,Americas,Storm,11,7.0,175.0
213,1983,Americas,Wildfire,1,0.0,0.0
214,1983,Asia,Drought,3,-4.0,-57.14285714285714
215,1983,Asia,Flood,19,7.0,58.333333333333336
216,1983,Asia,Landslide,7,2.0,40.0
217,1983,Asia,Storm,27,16.0,145.45454545454547
218,1983,Asia,Wildfire,2,1.0,100.0
219,1983,Europe,Drought,3,0.0,0.0
220,1983,Europe,Flood,12,-7.0,-36.84210526315789
221,1983,Europe,Landslide,4,-3.0,-42.857142857142854
222,1983,Europe,Storm,9,-18.0,-66.66666666666666
223,1983,Europe,Wildfire,7,5.0,250.0
224,1983,Oceania,Drought,1,-2.0,-66.66666666666666
225,1983,Oceania,Flood,3,-9.0,-75.0
226,1983,Oceania,Storm,8,-1.0,-11.11111111111111
227,1983,Oceania,Wildfire,2,-5.0,-71.42857142857143
228,1984,Africa,Drought,4,3.0,300.0
229,1984,Africa,Flood,3,0.0,0.0
230,1984,Africa,Storm,9,1.0,12.5
231,1984,Africa,Wildfire,1,-1.0,-50.0
232,1984,Americas,Drought,1,-3.0,-75.0
233,1984,Americas,Flood,14,11.0,366.66666666666663
234,1984,Americas,Landslide,2,-2.0,-50.0
235,1984,Americas,Storm,18,9.0,100.0
236,1984,Asia,Drought,1,0.0,0.0
237,1984,Asia,Flood,24,10.0,71.42857142857143
238,1984,Asia,Landslide,3,1.0,50.0
239,1984,Asia,Storm,12,-6.0,-33.33333333333333
240,1984,Asia,Wildfire,1,0.0,0.0
241,1984,Europe,Flood,4,-20.0,-83.33333333333334
242,1984,Europe,Landslide,1,-2.0,-66.66666666666666
243,1984,Europe,Storm,17,5.0,41.66666666666667
244,1984,Europe,Wildfire,5,4.0,400.0
245,1984,Oceania,Flood,2,-2.0,-50.0
246,1984,Oceania,Storm,1,-16.0,-94.11764705882352
247,1985,Africa,Drought,1,0.0,0.0
248,1985,Africa,Flood,11,9.0,450.0
249,1985,Africa,Storm,3,2.0,200.0
250,1985,Africa,Wildfire,1,-4.0,-80.0
251,1985,Americas,Drought,1,0.0,0.0
252,1985,Americas,Flood,14,3.0,27.27272727272727
253,1985,Americas,Landslide,3,2.0,200.0
254,1985,Americas,Storm,16,13.0,433.3333333333333
255,1985,Americas,Wildfire,2,1.0,100.0
256,1985,Asia,Drought,1,0.0,0.0
257,1985,Asia,Flood,25,11.0,78.57142857142857
258,1985,Asia,Landslide,1,-2.0,-66.66666666666666
259,1985,Asia,Storm,18,2.0,12.5
260,1985,Asia,Wildfire,2,0.0,0.0
261,1985,Europe,Flood,5,-20.0,-80.0
262,1985,Europe,Landslide,2,1.0,100.0
263,1985,Europe,Storm,7,-11.0,-61.111111111111114
264,1985,Europe,Wildfire,6,4.0,200.0
265,1985,Oceania,Flood,3,-2.0,-40.0
266,1985,Oceania,Storm,7,0.0,0.0
267,1985,Oceania,Wildfire,2,-4.0,-66.66666666666666
268,1986,Africa,Drought,1,0.0,0.0
269,1986,Africa,Flood,3,0.0,0.0
270,1986,Africa,Storm,1,-6.0,-85.71428571428571
271,1986,Americas,Drought,1,0.0,0.0
272,1986,Americas,Flood,19,16.0,533.3333333333333
273,1986,Americas,Landslide,4,2.0,100.0
274,1986,Americas,Storm,9,8.0,800.0
275,1986,Americas,Wildfire,2,0.0,0.0
276,1986,Asia,Drought,1,0.0,0.0
277,1986,Asia,Flood,21,2.0,10.526315789473683
278,1986,Asia,Landslide,5,1.0,25.0
279,1986,Asia,Storm,33,24.0,266.66666666666663
280,1986,Asia,Wildfire,2,0.0,0.0
281,1986,Europe,Drought,1,0.0,0.0
282,1986,Europe,Flood,2,-19.0,-90.47619047619048
283,1986,Europe,Storm,5,-28.0,-84.84848484848484
284,1986,Europe,Wildfire,2,0.0,0.0
285,1986,Oceania,Flood,5,3.0,150.0
286,1986,Oceania,Storm,8,3.0,60.0
287,1987,Africa,Drought,6,5.0,500.0
288,1987,Africa,Flood,3,-2.0,-40.0
289,1987,Africa,Storm,4,-4.0,-50.0
290,1987,Americas,Drought,2,-4.0,-66.66666666666666
291,1987,Americas,Flood,23,20.0,666.6666666666667
292,1987,Americas,Landslide,7,2.0,40.0
293,1987,Americas,Storm,15,11.0,275.0
294,1987,Americas,Wildfire,3,1.0,50.0
295,1987,Asia,Drought,7,5.0,250.0
296,1987,Asia,Flood,32,9.0,39.130434782608695
297,1987,Asia,Landslide,2,-5.0,-71.42857142857143
298,1987,Asia,Storm,23,8.0,53.333333333333336
299,1987,Asia,Wildfire,2,-1.0,-33.33333333333333
300,1987,Europe,Flood,9,-23.0,-71.875
301,1987,Europe,Landslide,3,1.0,50.0
302,1987,Europe,Storm,9,-14.0,-60.86956521739131
303,1987,Europe,Wildfire,2,0.0,0.0
304,1987,Oceania,Flood,1,-8.0,-88.88888888888889
305,1987,Oceania,Landslide,1,-2.0,-66.66666666666666
306,1987,Oceania,Storm,7,-2.0,-22.22222222222222
307,1987,Oceania,Wildfire,1,-1.0,-50.0
308,1988,Africa,Drought,8,1.0,14.285714285714285
309,1988,Africa,Flood,16,15.0,1500.0
310,1988,Africa,Landslide,1,0.0,0.0
311,1988,Africa,Storm,4,-3.0,-42.857142857142854
312,1988,Americas,Drought,6,-2.0,-25.0
313,1988,Americas,Flood,27,11.0,68.75
314,1988,Americas,Landslide,2,1.0,100.0
315,1988,Americas,Storm,32,28.0,700.0
316,1988,Asia,Drought,3,-3.0,-50.0
317,1988,Asia,Flood,23,-4.0,-14.814814814814813
318,1988,Asia,Landslide,10,8.0,400.0
319,1988,Asia,Storm,20,-12.0,-37.5
320,1988,Europe,Flood,4,-19.0,-82.6086956521739
321,1988,Europe,Landslide,1,-9.0,-90.0
322,1988,Oceania,Flood,6,2.0,50.0
323,1988,Oceania,Landslide,1,0.0,0.0
324,1988,Oceania,Storm,4,-16.0,-80.0
325,1989,Africa,Drought,4,1.0,33.33333333333333
326,1989,Africa,Flood,12,6.0,100.0
327,1989,Africa,Landslide,1,0.0,0.0
328,1989,Africa,Storm,5,1.0,25.0
329,1989,Americas,Flood,14,2.0,16.666666666666664
330,1989,Americas,Landslide,4,3.0,300.0
331,1989,Americas,Storm,30,25.0,500.0
332,1989,Americas,Wildfire,2,1.0,100.0
333,1989,Asia,Drought,1,-3.0,-75.0
334,1989,Asia,Flood,15,1.0,7.142857142857142
335,1989,Asia,Landslide,8,4.0,100.0
336,1989,Asia,Storm,28,-2.0,-6.666666666666667
337,1989,Asia,Wildfire,1,-1.0,-50.0
338,1989,Europe,Drought,2,1.0,100.0
339,1989,Europe,Flood,2,-13.0,-86.66666666666667
340,1989,Europe,Landslide,2,-6.0,-75.0
341,1989,Europe,Storm,5,-23.0,-82.14285714285714
342,1989,Oceania,Flood,3,1.0,50.0
343,1989,Oceania,Storm,5,0.0,0.0
344,1990,Africa,Drought,14,12.0,600.0
345,1990,Africa,Flood,7,4.0,133.33333333333331
346,1990,Africa,Storm,1,-4.0,-80.0
347,1990,Americas,Drought,2,-12.0,-85.71428571428571
348,1990,Americas,Flood,23,16.0,228.57142857142856
349,1990,Americas,Landslide,1,-1.0,-50.0
350,1990,Americas,Storm,26,25.0,2500.0
351,1990,Asia,Drought,1,-1.0,-50.0
352,1990,Asia,Flood,24,1.0,4.3478260869565215
353,1990,Asia,Landslide,2,1.0,100.0
354,1990,Asia,Storm,35,9.0,34.61538461538461
355,1990,Asia,Wildfire,1,0.0,0.0
356,1990,Europe,Drought,3,2.0,200.0
357,1990,Europe,Flood,4,-20.0,-83.33333333333334
358,1990,Europe,Landslide,2,0.0,0.0
359,1990,Europe,Storm,66,31.0,88.57142857142857
360,1990,Europe,Wildfire,2,1.0,100.0
361,1990,Oceania,Flood,2,-2.0,-50.0
362,1990,Oceania,Storm,9,-57.0,-86.36363636363636
363,1990,Oceania,Wildfire,1,-1.0,-50.0
364,1991,Africa,Drought,3,0.0,0.0
365,1991,Africa,Flood,6,4.0,200.0
366,1991,Africa,Storm,3,-6.0,-66.66666666666666
367,1991,Africa,Wildfire,1,0.0,0.0
368,1991,Americas,Drought,3,0.0,0.0
369,1991,Americas,Flood,22,16.0,266.66666666666663
370,1991,Americas,Landslide,5,3.0,150.0
371,1991,Americas,Storm,19,16.0,533.3333333333333
372,1991,Americas,Wildfire,4,3.0,300.0
373,1991,Asia,Drought,4,1.0,33.33333333333333
374,1991,Asia,Flood,41,19.0,86.36363636363636
375,1991,Asia,Landslide,3,-2.0,-40.0
376,1991,Asia,Storm,35,16.0,84.21052631578947
377,1991,Asia,Wildfire,1,-3.0,-75.0
378,1991,Europe,Drought,1,-3.0,-75.0
379,1991,Europe,Flood,5,-36.0,-87.8048780487805
380,1991,Europe,Storm,5,-30.0,-85.71428571428571
381,1991,Europe,Wildfire,2,1.0,100.0
382,1991,Oceania,Drought,1,0.0,0.0
383,1991,Oceania,Flood,3,-2.0,-40.0
384,1991,Oceania,Landslide,1,-2.0,-66.66666666666666
385,1991,Oceania,Storm,4,-1.0,-20.0
386,1992,Africa,Drought,2,1.0,100.0
387,1992,Africa,Flood,1,-2.0,-66.66666666666666
388,1992,Americas,Drought,2,0.0,0.0
389,1992,Americas,Flood,16,15.0,1500.0
390,1992,Americas,Landslide,2,1.0,100.0
391,1992,Americas,Storm,32,28.0,700.0
392,1992,Americas,Wildfire,5,3.0,150.0
393,1992,Asia,Drought,2,0.0,0.0
394,1992,Asia,Flood,33,17.0,106.25
395,1992,Asia,Landslide,5,3.0,150.0
396,1992,Asia,Storm,31,-1.0,-3.125
397,1992,Asia,Wildfire,1,-4.0,-80.0
398,1992,Europe,Drought,3,1.0,50.0
399,1992,Europe,Flood,8,-25.0,-75.75757575757575
400,1992,Europe,Landslide,1,-4.0,-80.0
401,1992,Europe,Storm,4,-27.0,-87.09677419354838
402,1992,Europe,Wildfire,2,1.0,100.0
403,1992,Oceania,Drought,2,-1.0,-33.33333333333333
404,1992,Oceania,Flood,1,-7.0,-87.5
405,1992,Oceania,Storm,9,5.0,125.0
406,1993,Africa,Drought,3,1.0,50.0
407,1993,Africa,Flood,10,9.0,900.0
408,1993,Africa,Landslide,1,0.0,0.0
409,1993,Africa,Storm,4,-5.0,-55.55555555555556
410,1993,Americas,Drought,2,-1.0,-33.33333333333333
411,1993,Americas,Flood,25,15.0,150.0
412,1993,Americas,Landslide,6,5.0,500.0
413,1993,Americas,Storm,32,28.0,700.0
414,1993,Americas,Wildfire,2,0.0,0.0
415,1993,Asia,Drought,2,0.0,0.0
416,1993,Asia,Flood,33,8.0,32.0
417,1993,Asia,Landslide,15,9.0,150.0
418,1993,Asia,Storm,52,20.0,62.5
419,1993,Europe,Drought,2,0.0,0.0
420,1993,Europe,Flood,14,-19.0,-57.57575757575758
421,1993,Europe,Landslide,2,-13.0,-86.66666666666667
422,1993,Europe,Storm,13,-39.0,-75.0
423,1993,Oceania,Flood,2,-12.0,-85.71428571428571
424,1993,Oceania,Storm,7,-6.0,-46.15384615384615
425,1994,Africa,Drought,1,-1.0,-50.0
426,1994,Africa,Flood,18,16.0,800.0
427,1994,Africa,Landslide,1,-1.0,-50.0
428,1994,Africa,Storm,8,1.0,14.285714285714285
429,1994,Africa,Wildfire,1,-1.0,-50.0
430,1994,Americas,Drought,8,7.0,700.0
431,1994,Americas,Flood,12,-6.0,-33.33333333333333
432,1994,Americas,Landslide,3,2.0,200.0
433,1994,Americas,Storm,17,9.0,112.5
434,1994,Americas,Wildfire,6,5.0,500.0
435,1994,Asia,Drought,3,-5.0,-62.5
436,1994,Asia,Flood,39,27.0,225.0
437,1994,Asia,Landslide,7,4.0,133.33333333333331
438,1994,Asia,Storm,40,23.0,135.29411764705884
439,1994,Asia,Wildfire,1,-5.0,-83.33333333333334
440,1994,Europe,Flood,18,-21.0,-53.84615384615385
441,1994,Europe,Storm,12,-28.0,-70.0
442,1994,Europe,Wildfire,3,2.0,200.0
443,1994,Oceania,Flood,1,-17.0,-94.44444444444444
444,1994,Oceania,Storm,4,-8.0,-66.66666666666666
445,1994,Oceania,Wildfire,2,-1.0,-33.33333333333333
446,1995,Africa,Drought,4,1.0,33.33333333333333
447,1995,Africa,Flood,20,19.0,1900.0
448,1995,Africa,Storm,2,-2.0,-50.0
449,1995,Africa,Wildfire,1,-1.0,-50.0
450,1995,Americas,Drought,1,-3.0,-75.0
451,1995,Americas,Flood,22,2.0,10.0
452,1995,Americas,Landslide,4,-3.0,-42.857142857142854
453,1995,Americas,Storm,39,37.0,1850.0
454,1995,Americas,Wildfire,2,1.0,100.0
455,1995,Asia,Drought,1,0.0,0.0
456,1995,Asia,Flood,45,23.0,104.54545454545455
457,1995,Asia,Landslide,9,5.0,125.0
458,1995,Asia,Storm,26,-13.0,-33.33333333333333
459,1995,Asia,Wildfire,3,1.0,50.0
460,1995,Europe,Flood,7,-38.0,-84.44444444444444
461,1995,Europe,Landslide,3,-6.0,-66.66666666666666
462,1995,Europe,Storm,10,-16.0,-61.53846153846154
463,1995,Europe,Wildfire,1,-2.0,-66.66666666666666
464,1995,Oceania,Storm,4,-6.0,-60.0
465,1996,Africa,Drought,5,4.0,400.0
466,1996,Africa,Flood,17,10.0,142.85714285714286
467,1996,Africa,Landslide,1,-2.0,-66.66666666666666
468,1996,Africa,Storm,6,2.0,50.0
469,1996,Americas,Drought,1,-4.0,-80.0
470,1996,Americas,Flood,21,4.0,23.52941176470588
471,1996,Americas,Landslide,6,5.0,500.0
472,1996,Americas,Storm,30,24.0,400.0
473,1996,Americas,Wildfire,2,1.0,100.0
474,1996,Asia,Drought,1,0.0,0.0
475,1996,Asia,Flood,38,17.0,80.95238095238095
476,1996,Asia,Landslide,12,6.0,100.0
477,1996,Asia,Storm,29,-1.0,-3.3333333333333335
478,1996,Asia,Wildfire,2,0.0,0.0
479,1996,Europe,Flood,14,-24.0,-63.1578947368421
480,1996,Europe,Landslide,3,-9.0,-75.0
481,1996,Europe,Storm,5,-24.0,-82.75862068965517
482,1996,Europe,Wildfire,1,-1.0,-50.0
483,1996,Oceania,Flood,2,-12.0,-85.71428571428571
484,1996,Oceania,Landslide,2,-1.0,-33.33333333333333
485,1996,Oceania,Storm,7,2.0,40.0
486,1997,Africa,Drought,5,4.0,400.0
487,1997,Africa,Flood,18,16.0,800.0
488,1997,Africa,Landslide,1,-1.0,-50.0
489,1997,Africa,Storm,4,-3.0,-42.857142857142854
490,1997,Africa,Wildfire,1,0.0,0.0
491,1997,Americas,Drought,4,-1.0,-20.0
492,1997,Americas,Flood,22,4.0,22.22222222222222
493,1997,Americas,Landslide,2,1.0,100.0
494,1997,Americas,Storm,34,30.0,750.0
495,1997,Americas,Wildfire,5,4.0,400.0
496,1997,Asia,Drought,3,-1.0,-25.0
497,1997,Asia,Flood,36,14.0,63.63636363636363
498,1997,Asia,Landslide,8,6.0,300.0
499,1997,Asia,Storm,28,-6.0,-17.647058823529413
500,1997,Asia,Wildfire,3,-2.0,-40.0
501,1997,Europe,Drought,3,0.0,0.0
502,1997,Europe,Flood,17,-19.0,-52.77777777777778
503,1997,Europe,Landslide,1,-7.0,-87.5
504,1997,Europe,Storm,7,-21.0,-75.0
505,1997,Europe,Wildfire,4,1.0,33.33333333333333
506,1997,Oceania,Drought,2,-1.0,-33.33333333333333
507,1997,Oceania,Flood,2,-15.0,-88.23529411764706
508,1997,Oceania,Landslide,1,0.0,0.0
509,1997,Oceania,Storm,6,-1.0,-14.285714285714285
510,1997,Oceania,Wildfire,3,-1.0,-25.0
511,1998,Africa,Drought,8,6.0,300.0
512,1998,Africa,Flood,21,19.0,950.0
513,1998,Africa,Landslide,1,0.0,0.0
514,1998,Africa,Storm,1,-5.0,-83.33333333333334
515,1998,Africa,Wildfire,3,0.0,0.0
516,1998,Americas,Drought,5,-3.0,-37.5
517,1998,Americas,Flood,18,-3.0,-14.285714285714285
518,1998,Americas,Landslide,6,5.0,500.0
519,1998,Americas,Storm,41,40.0,4000.0
520,1998,Americas,Wildfire,8,5.0,166.66666666666669
521,1998,Asia,Drought,3,-2.0,-40.0
522,1998,Asia,Flood,35,17.0,94.44444444444444
523,1998,Asia,Landslide,11,5.0,83.33333333333334
524,1998,Asia,Storm,32,-9.0,-21.951219512195124
525,1998,Asia,Wildfire,4,-4.0,-50.0
526,1998,Europe,Drought,1,-2.0,-66.66666666666666
